Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
122,16,18,378191,331952,397,42.77332389,22.21602685,66.73753029,10.38222684,5.630252101,5.957983193,5.794117647,,,,,,,,,,,
123,34,22,189707,347101,16,12.71631327,17.82518775,8.604539205,10.35428687,3.371428571,3.485714286,3.428571429,,,,,,,,,,,
124,16,26,968856,134357,10153,57.23327919,20.62274886,48.12223138,10.56647995,5.96460177,6.079646018,6.022123894,,,,,,,,,,,
125,13,9,497890,16062,14017,37.43159485,20.561591,40.82029381,5.43681556,4.669172932,4.872180451,4.770676692,,,,,,,,,,,
126,11,19,689564,393136,8959,131.6237313,10.0371172,97.27320329,13.18376385,6.389380531,6.371681416,6.380530973,,,,,,,,,,,
127,23,4,971625,152261,5359,68.22852328,23.83076428,42.97476192,9.812230394,6.415929204,6.628318584,6.522123894,,,,,,,,,,,
128,1,0,1990043,0,34972,48.05179085,13.87500361,69.64912481,11.34180059,6.557971014,6.695652174,6.626811594,,,,,,,,,,,
129,2,15,6034,50569,757,14.40904652,24.42589176,33.33009909,2.916887893,3.310606061,3.53030303,3.420454545,,,,,,,,,,,
130,21,24,416470,262105,4423,24.13706456,5.466511326,12.89212631,9.670737467,4.333333333,4.342592593,4.337962963,,,,,,,,,,,
131,4,4,285650,63845,4513,32.22616483,18.82992547,51.34987592,4.15592455,4.210526316,4.350877193,4.280701754,,,,,,,,,,,
132,20,22,218200,173858,1264,14.19401093,6.918684427,33.45796101,7.267771139,3.023622047,3.11023622,3.066929134,,,,,,,,,,,
133,14,15,545580,366617,403,15.40735573,13.18358378,39.25112554,10.81068258,4.230769231,4.606837607,4.418803419,,,,,,,,,,,
134,6,23,110627,57728,910,19.90859971,6.182030931,52.3567192,4.551713051,5.943089431,6.113821138,6.028455285,,,,,,,,,,,
135,9,23,176667,162241,1720,16.3106687,16.03363502,39.4922252,6.462338902,4.110091743,4.504587156,4.30733945,,,,,,,,,,,
136,7,9,265324,55654,1651,12.90704444,4.56628953,25.55479576,4.295224472,4.537735849,4.575471698,4.556603774,,,,,,,,,,,
137,12,46,509749,228653,15271,103.9098929,79.51370226,102.5878278,11.32402399,3.99137931,4.301724138,4.146551724,,,,,,,,,,,
138,1,1,876880,882,5767,29.556344,26.67114446,54.67872452,5.657637233,5.596774194,5.935483871,5.766129032,,,,,,,,,,,
139,1,2,793730,12916,13264,50.66806999,23.82218761,57.60724291,5.675658002,6.127118644,6.220338983,6.173728814,,,,,,,,,,,
140,6,19,503309,268073,493,14.98047027,12.65277129,41.02410938,9.230963588,4.720720721,4.783783784,4.752252252,,,,,,,,,,,
141,26,55,1056125,542252,23734,85.35077248,12.92725234,68.28991702,20.846948,5.2,5.266666667,5.233333333,,,,,,,,,,,
142,7,7,226031,32945,2611,88.74079097,8.032172558,56.42342051,4.344495355,3.422413793,3.862068966,3.642241379,,,,,,,,,,,
143,17,18,605408,42165,16,9.829893229,11.92724687,34.62117648,7.148297879,5.390909091,5.481818182,5.436363636,,,,,,,,,,,
144,26,56,212387,292205,3664,105.143348,7.469581364,64.89801887,12.74237159,6.007751938,6.162790698,6.085271318,,,,,,,,,,,
145,4,6,627289,24882,1264,59.62570334,17.53984686,67.67646145,5.796528347,4.919642857,5.107142857,5.013392857,,,,,,,,,,,
146,21,4,160776,27459,1909,22.01758067,9.799042641,23.92435429,3.951464086,5.231404959,5.157024793,5.194214876,,,,,,,,,,,
147,5,3,99545,21725,1729,19.02529399,10.19277627,21.25129464,2.439437221,5.718181818,5.609090909,5.663636364,,,,,,,,,,,
148,17,0,123235,0,6367,52.82730285,32.95476126,36.0562387,5.338715803,3.555555556,3.767676768,3.661616162,,,,,,,,,,,
149,2,5,491558,25493,3241,40.97815995,34.57569924,63.80238758,4.823963312,5.350877193,5.254385965,5.302631579,,,,,,,,,,,
